Phase,Reflection
400,0
410,0.001616175
420,0.002780395
430,0.003853983
440,0.005955742
450,0.010657762
460,0.014368117
470,0.018919882
480,0.025801557
490,0.030705834
500,0.037382235
510,0.041789519
520,0.04809579
530,0.054847983
540,0.06409159
550,0.075272237
560,0.089144036
570,0.101876336
580,0.117723309
590,0.13182796
600,0.145411095
610,0.16201077
620,0.171810515
630,0.184008303
640,0.191769641
650,0.208269834
660,0.222208775
670,0.240367979
680,0.252719335
690,0.272847028
700,0.295618632
710,0.320816611
720,0.34189345
730,0.361691269
740,0.380270742
750,0.396788912
760,0.416572962
770,0.436614546
780,0.460691398
790,0.47971106
800,0.496508509
810,0.516481642
820,0.53503433
830,0.554558346
840,0.579087173
850,0.601626361
860,0.630267161
870,0.657617593
880,0.684487003
890,0.713070503
900,0.741487498
910,0.764152795
920,0.793575562
930,0.814825254
940,0.834035071
950,0.852921878
960,0.876569217
970,0.895861492
980,0.915870894
990,0.933229957
1000,0.955310187
1010,0.980005439
1020,1
